state,district,forecast_period,forecast_severity_score,forecast_risk_category,forecast_enrol,forecast_demo,forecast_bio,current_trend
ODISHA,CUTTACK,2_weeks_ahead,65.7120188403094,Watchlist,286,1842,2456,accelerating_down
ODISHA,DEOGARH,2_weeks_ahead,40.36755230405838,Stable,62,293,257,stable
ODISHA,DHENKANAL,2_weeks_ahead,51.127503105379,Stable,181,999,1129,accelerating_down
ODISHA,GAJAPATI,2_weeks_ahead,44.90394423405267,Stable,67,539,621,stable
ODISHA,GANJAM,2_weeks_ahead,73.86604878446461,Emerging_Risk,412,3390,3739,accelerating_down
ODISHA,JAGATSINGHAPUR,2_weeks_ahead,49.81845947670299,Stable,159,765,1159,declining
ODISHA,JAJAPUR,2_weeks_ahead,60.07183432769878,Watchlist,238,1623,1634,accelerating_down
ODISHA,JHARSUGUDA,2_weeks_ahead,42.674586002668946,Stable,44,477,502,stable
ODISHA,KALAHANDI,2_weeks_ahead,54.34374377333619,Stable,144,1352,1400,accelerating_down
ODISHA,KANDHAMAL,2_weeks_ahead,49.171287111618476,Stable,97,706,827,stable
ODISHA,KENDRAPARA,2_weeks_ahead,56.25418505164932,Watchlist,221,1246,1360,accelerating_down
ODISHA,KENDUJHAR,2_weeks_ahead,63.490050921057666,Watchlist,324,1753,1579,accelerating_down
ODISHA,KHORDHA,2_weeks_ahead,64.00402272871372,Watchlist,267,1866,2191,accelerating_down
ODISHA,KORAPUT,2_weeks_ahead,52.745294887095234,Stable,167,1211,1227,accelerating_down
ODISHA,MALKANGIRI,2_weeks_ahead,42.284837934586754,Stable,76,325,362,stable
ODISHA,MAYURBHANJ,2_weeks_ahead,64.6641402276058,Watchlist,238,2385,2198,accelerating_down
ODISHA,NABARANGPUR,2_weeks_ahead,49.41125198615427,Stable,175,925,831,declining
ODISHA,NAYAGARH,2_weeks_ahead,44.86104351343287,Stable,112,760,795,accelerating_down
ODISHA,NUAPADA,2_weeks_ahead,47.56935802517529,Stable,75,689,739,stable
ODISHA,PURI,2_weeks_ahead,54.58678114414381,Stable,166,1272,1418,accelerating_down
ODISHA,RAYAGADA,2_weeks_ahead,44.80158945506256,Stable,84,919,813,declining
ODISHA,SAMBALPUR,2_weeks_ahead,49.055759521057745,Stable,131,1104,937,accelerating_down
ODISHA,SONEPUR,2_weeks_ahead,43.3100996052206,Stable,65,498,397,stable
ODISHA,SUNDARGARH,2_weeks_ahead,59.90410260803717,Watchlist,203,1583,1830,accelerating_down
Odisha,Angul,2_weeks_ahead,22.827644548067735,Stable,1,20,50,stable
Odisha,Anugul,2_weeks_ahead,10.073527666932543,Stable,0,1,0,rising
Odisha,Baleshwar,2_weeks_ahead,8.47386457441338,Stable,0,2,0,stable
Odisha,Baleswar,2_weeks_ahead,10.11607785525609,Stable,0,1,4,stable
Odisha,Boudh,2_weeks_ahead,12.552966539833024,Stable,0,5,4,stable
Odisha,Cuttack,2_weeks_ahead,10.40225974812866,Stable,0,1,2,stable
Odisha,Jagatsinghapur,2_weeks_ahead,11.656461747614662,Stable,0,2,4,rising
Odisha,Jagatsinghpur,2_weeks_ahead,9.015683511123079,Stable,0,1,2,stable
Odisha,Jajapur,2_weeks_ahead,14.024329277901822,Stable,0,7,11,stable
Odisha,Kendrapara,2_weeks_ahead,10.357752751380833,Stable,0,3,2,stable
Odisha,Kendujhar,2_weeks_ahead,11.485415344065498,Stable,0,2,4,stable
Odisha,Khordha,2_weeks_ahead,8.032984009420069,Stable,0,1,0,stable
Odisha,NUAPADA,2_weeks_ahead,9.0519898093818,Stable,0,1,1,stable
Odisha,Nayagarh,2_weeks_ahead,8.865674276662594,Stable,0,1,0,accelerating_up
Odisha,Nuapada,2_weeks_ahead,4.500915306332983,Stable,0,1,0,stable
Odisha,Sambalpur,2_weeks_ahead,20.110217930221975,Stable,1,7,7,accelerating_up
Odisha,Subarnapur,2_weeks_ahead,3.8134179385398883,Stable,0,0,0,stable
Orissa,Anugul,2_weeks_ahead,7.563609049497576,Stable,0,0,1,stable
Orissa,Baleshwar,2_weeks_ahead,8.826154506611797,Stable,0,0,0,stable
